conversation_id,conversation_text,attribute_count_normalized,average_specificity,maximum_specificity,high_specificity_ratio,sensitive_category_count_normalized,uniqueness_risk,risk_score,risk_level,attributes_json,contextual_indicators_json
ml_conv_0011,Here are some details: I have financial difficulty; I work as a student; I visited district clinic; I identify as nonbinary adult.,0.8,0.73,0.81,0.5,0.2,0,4.327778,MEDIUM,"[{""type"": ""FINANCIAL"", ""value"": ""financial difficulty"", ""specificity"": 0.78, ""confidence"": 0.95, ""source_message_id"": 1}, {""type"": ""OCCUPATION"", ""value"": ""student"", ""specificity"": 0.81, ""confidence"": 0.97, ""source_message_id"": 2}, {""type"": ""FACILITY"", ""value"": ""district clinic"", ""specificity"": 0.69, ""confidence"": 0.91, ""source_message_id"": 2}, {""type"": ""GENDER"", ""value"": ""nonbinary adult"", ""specificity"": 0.64, ""confidence"": 0.97, ""source_message_id"": 3}]",[]
ml_conv_0012,A few details about me: the relevant date is this week; I am young adult.,0.4,0.685,0.84,0.5,0.0,0,3.438889,MEDIUM,"[{""type"": ""DATE"", ""value"": ""this week"", ""specificity"": 0.53, ""confidence"": 0.97, ""source_message_id"": 1}, {""type"": ""AGE"", ""value"": ""young adult"", ""specificity"": 0.84, ""confidence"": 0.97, ""source_message_id"": 2}]",[]
ml_conv_0013,A few details about me: the relevant date is 2 January 2025; I have medical debt.,0.4,0.72,0.85,0.5,0.2,0,3.938889,MEDIUM,"[{""type"": ""DATE"", ""value"": ""2 January 2025"", ""specificity"": 0.59, ""confidence"": 0.95, ""source_message_id"": 1}, {""type"": ""FINANCIAL"", ""value"": ""medical debt"", ""specificity"": 0.85, ""confidence"": 0.96, ""source_message_id"": 2}]",[]
ml_conv_0014,My situation is that I visited health centre.,0.2,0.14,0.14,0.0,0.0,0,0.611111,LOW,"[{""type"": ""FACILITY"", ""value"": ""health centre"", ""specificity"": 0.14, ""confidence"": 0.95, ""source_message_id"": 1}]",[]
ml_conv_0015,My situation is that I have a ration card; I am 29; I work as a software engineer; my contact is a mobile number; I have financial difficulty; I have a rare blood disorder; I identify as nonbinary adult; I visited district clinic.,1.0,0.90125,0.98,1.0,0.4,0.2,6.745833,HIGH,"[{""type"": ""GOVERNMENT_ID"", ""value"": ""a ration card"", ""specificity"": 0.97, ""confidence"": 0.89, ""source_message_id"": 1}, {""type"": ""AGE"", ""value"": ""29"", ""specificity"": 0.83, ""confidence"": 0.94, ""source_message_id"": 2}, {""type"": ""OCCUPATION"", ""value"": ""software engineer"", ""specificity"": 0.95, ""confidence"": 0.91, ""source_message_id"": 2}, {""type"": ""PHONE_NUMBER"", ""value"": ""a mobile number"", ""specificity"": 0.81, ""confidence"": 0.88, ""source_message_id"": 4}, {""type"": ""FINANCIAL"", ""value"": ""financial difficulty"", ""specificity"": 0.84, ""confidence"": 0.92, ""source_message_id"": 4}, {""type"": ""HEALTH"", ""value"": ""a rare blood disorder"", ""specificity"": 0.9, ""confidence"": 0.88, ""source_message_id"": 2}, {""type"": ""GENDER"", ""value"": ""nonbinary adult"", ""specificity"": 0.93, ""confidence"": 0.93, ""source_message_id"": 2}, {""type"": ""FACILITY"", ""value"": ""district clinic"", ""specificity"": 0.98, ""confidence"": 0.88, ""source_message_id"": 1}]","[{""indicator"": ""sensitive_health_attribute"", ""attribute_type"": ""HEALTH""}]"
ml_conv_0016,Yesterday I mentioned that I live in Village X; I am 57; I visited health centre. The appointment was recorded in the local clinic register.,0.6,0.9500000000000001,0.98,1.0,0.0,0.8999999999999999,7.022222,HIGH,"[{""type"": ""LOCATION"", ""value"": ""Village X"", ""specificity"": 0.95, ""confidence"": 0.88, ""source_message_id"": 1}, {""type"": ""AGE"", ""value"": ""57"", ""specificity"": 0.98, ""confidence"": 0.94, ""source_message_id"": 2}, {""type"": ""FACILITY"", ""value"": ""health centre"", ""specificity"": 0.92, ""confidence"": 0.91, ""source_message_id"": 2}]","[{""indicator"": ""village_level_location"", ""attribute_type"": ""LOCATION""}, {""indicator"": ""exact_age"", ""attribute_type"": ""AGE""}]"
ml_conv_0017,"For context, my family includes two children; I live in Ward 14 in Jaipur; my contact is a phone ending in 4421.",0.6,0.7000000000000001,0.83,0.6666666666666666,0.2,0,4.383333,MEDIUM,"[{""type"": ""FAMILY"", ""value"": ""two children"", ""specificity"": 0.53, ""confidence"": 0.92, ""source_message_id"": 1}, {""type"": ""LOCATION"", ""value"": ""Ward 14 in Jaipur"", ""specificity"": 0.83, ""confidence"": 0.93, ""source_message_id"": 1}, {""type"": ""PHONE_NUMBER"", ""value"": ""a phone ending in 4421"", ""specificity"": 0.74, ""confidence"": 0.91, ""source_message_id"": 3}]",[]
ml_conv_0018,"For context, my contact is a mobile number; I live in Village X. After work I walked through the park and called a friend.",0.4,0.27,0.34,0.0,0.0,0.6,2.644444,LOW,"[{""type"": ""PHONE_NUMBER"", ""value"": ""a mobile number"", ""specificity"": 0.2, ""confidence"": 0.88, ""source_message_id"": 1}, {""type"": ""LOCATION"", ""value"": ""Village X"", ""specificity"": 0.34, ""confidence"": 0.89, ""source_message_id"": 1}]","[{""indicator"": ""village_level_location"", ""attribute_type"": ""LOCATION""}]"
ml_conv_0019,"For context, my contact is a mobile number; I visited PHC Y.",0.4,0.245,0.33,0.0,0.0,0,1.266667,LOW,"[{""type"": ""PHONE_NUMBER"", ""value"": ""a mobile number"", ""specificity"": 0.16, ""confidence"": 0.91, ""source_message_id"": 1}, {""type"": ""FACILITY"", ""value"": ""PHC Y"", ""specificity"": 0.33, ""confidence"": 0.93, ""source_message_id"": 2}]",[]
ml_conv_0020,"A few details about me: I have asthma; I have a ration card; I identify as man. I attended two classes, shared lunch with classmates, and came home.",0.6,0.32,0.58,0.0,0.2,0,2.433333,LOW,"[{""type"": ""HEALTH"", ""value"": ""asthma"", ""specificity"": 0.33, ""confidence"": 0.91, ""source_message_id"": 1}, {""type"": ""GOVERNMENT_ID"", ""value"": ""a ration card"", ""specificity"": 0.05, ""confidence"": 0.92, ""source_message_id"": 2}, {""type"": ""GENDER"", ""value"": ""man"", ""specificity"": 0.58, ""confidence"": 0.98, ""source_message_id"": 2}]",[]
ml_conv_0021,My situation is that my contact is a mobile number; I am 34; I have a ration card; my family includes elderly dependent.,0.8,0.73,0.79,0.75,0.2,0,4.711111,MEDIUM,"[{""type"": ""PHONE_NUMBER"", ""value"": ""a mobile number"", ""specificity"": 0.79, ""confidence"": 0.89, ""source_message_id"": 1}, {""type"": ""AGE"", ""value"": ""34"", ""specificity"": 0.74, ""confidence"": 0.97, ""source_message_id"": 1}, {""type"": ""GOVERNMENT_ID"", ""value"": ""a ration card"", ""specificity"": 0.79, ""confidence"": 0.97, ""source_message_id"": 1}, {""type"": ""FAMILY"", ""value"": ""elderly dependent"", ""specificity"": 0.6, ""confidence"": 0.95, ""source_message_id"": 2}]",[]
ml_conv_0022,"For context, I live in Ward 14 in Jaipur.",0.2,0.19,0.19,0.0,0.0,0,0.75,LOW,"[{""type"": ""LOCATION"", ""value"": ""Ward 14 in Jaipur"", ""specificity"": 0.19, ""confidence"": 0.95, ""source_message_id"": 1}]",[]
ml_conv_0023,Yesterday I mentioned that my contact is a phone ending in 4421.,0.2,0.41,0.41,0.0,0.0,0,1.361111,LOW,"[{""type"": ""PHONE_NUMBER"", ""value"": ""a phone ending in 4421"", ""specificity"": 0.41, ""confidence"": 0.9, ""source_message_id"": 1}]",[]
ml_conv_0024,My situation is that I am the only person matching these details: I visited City Hospital; the relevant date is 14 March 2026; I work as a student; I have a government identification number; my contact is a phone ending in 4421.,1.0,0.8300000000000001,0.94,1.0,0.0,1.0,7.488889,HIGH,"[{""type"": ""FACILITY"", ""value"": ""City Hospital"", ""specificity"": 0.89, ""confidence"": 0.97, ""source_message_id"": 1}, {""type"": ""DATE"", ""value"": ""14 March 2026"", ""specificity"": 0.94, ""confidence"": 0.93, ""source_message_id"": 1}, {""type"": ""OCCUPATION"", ""value"": ""student"", ""specificity"": 0.8, ""confidence"": 0.96, ""source_message_id"": 1}, {""type"": ""GOVERNMENT_ID"", ""value"": ""a government identification number"", ""specificity"": 0.7, ""confidence"": 0.89, ""source_message_id"": 3}, {""type"": ""PHONE_NUMBER"", ""value"": ""a phone ending in 4421"", ""specificity"": 0.82, ""confidence"": 0.95, ""source_message_id"": 4}]","[{""indicator"": ""exact_date"", ""attribute_type"": ""DATE""}, {""indicator"": ""uniqueness_word"", ""attribute_type"": ""AGE""}]"
ml_conv_0025,"For context, the relevant date is 2 January 2025; I work as a student; my family includes two children; I am adult; I have financial difficulty.",1.0,0.554,0.84,0.2,0.4,0,4.348889,MEDIUM,"[{""type"": ""DATE"", ""value"": ""2 January 2025"", ""specificity"": 0.84, ""confidence"": 0.96, ""source_message_id"": 1}, {""type"": ""OCCUPATION"", ""value"": ""student"", ""specificity"": 0.67, ""confidence"": 0.89, ""source_message_id"": 2}, {""type"": ""FAMILY"", ""value"": ""two children"", ""specificity"": 0.52, ""confidence"": 0.9, ""source_message_id"": 3}, {""type"": ""AGE"", ""value"": ""adult"", ""specificity"": 0.35, ""confidence"": 0.91, ""source_message_id"": 2}, {""type"": ""FINANCIAL"", ""value"": ""financial difficulty"", ""specificity"": 0.39, ""confidence"": 0.89, ""source_message_id"": 3}]",[]
ml_conv_0026,"For context, I am the only person matching these details: I have medical debt; I have health problems; I have a ration card; my contact is a phone ending in 4421; I am 57. The appointment was recorded in the local clinic register.",1.0,0.826,0.92,0.8,0.4,1.0,8.006667,HIGH,"[{""type"": ""FINANCIAL"", ""value"": ""medical debt"", ""specificity"": 0.92, ""confidence"": 0.9, ""source_message_id"": 1}, {""type"": ""HEALTH"", ""value"": ""health problems"", ""specificity"": 0.78, ""confidence"": 0.88, ""source_message_id"": 1}, {""type"": ""GOVERNMENT_ID"", ""value"": ""a ration card"", ""specificity"": 0.85, ""confidence"": 0.94, ""source_message_id"": 1}, {""type"": ""PHONE_NUMBER"", ""value"": ""a phone ending in 4421"", ""specificity"": 0.91, ""confidence"": 0.93, ""source_message_id"": 1}, {""type"": ""AGE"", ""value"": ""57"", ""specificity"": 0.67, ""confidence"": 0.9, ""source_message_id"": 1}]","[{""indicator"": ""sensitive_health_attribute"", ""attribute_type"": ""HEALTH""}, {""indicator"": ""uniqueness_word"", ""attribute_type"": ""HEALTH""}]"
ml_conv_0027,"For context, my family includes two children; I live in Bengaluru; I identify as nonbinary adult.",0.6,0.5033333333333333,0.57,0.0,0.2,0,2.62037,LOW,"[{""type"": ""FAMILY"", ""value"": ""two children"", ""specificity"": 0.57, ""confidence"": 0.97, ""source_message_id"": 1}, {""type"": ""LOCATION"", ""value"": ""Bengaluru"", ""specificity"": 0.38, ""confidence"": 0.93, ""source_message_id"": 1}, {""type"": ""GENDER"", ""value"": ""nonbinary adult"", ""specificity"": 0.56, ""confidence"": 0.97, ""source_message_id"": 1}]",[]
ml_conv_0028,Yesterday I mentioned that I identify as woman; I have diabetes.,0.4,0.16,0.21,0.0,0.2,0,1.416667,LOW,"[{""type"": ""GENDER"", ""value"": ""woman"", ""specificity"": 0.21, ""confidence"": 0.96, ""source_message_id"": 1}, {""type"": ""HEALTH"", ""value"": ""diabetes"", ""specificity"": 0.11, ""confidence"": 0.88, ""source_message_id"": 2}]",[]
ml_conv_0029,My situation is that I am the only person matching these details: I work as a teacher; I live in Mysuru; I have chronic kidney disease; I am adult. I had already discussed the matter with the district office.,0.8,0.735,0.86,0.5,0.2,1.0,6.638889,MEDIUM,"[{""type"": ""OCCUPATION"", ""value"": ""teacher"", ""specificity"": 0.86, ""confidence"": 0.91, ""source_message_id"": 1}, {""type"": ""LOCATION"", ""value"": ""Mysuru"", ""specificity"": 0.7, ""confidence"": 0.96, ""source_message_id"": 2}, {""type"": ""HEALTH"", ""value"": ""chronic kidney disease"", ""specificity"": 0.69, ""confidence"": 0.91, ""source_message_id"": 3}, {""type"": ""AGE"", ""value"": ""adult"", ""specificity"": 0.69, ""confidence"": 0.93, ""source_message_id"": 4}]","[{""indicator"": ""uniqueness_word"", ""attribute_type"": ""LOCATION""}]"
ml_conv_0030,My situation is that I am the only person matching these details: I work as a software engineer; the relevant date is 2 January 2025.,0.4,0.8999999999999999,0.95,1.0,0.0,1.0,6.916667,HIGH,"[{""type"": ""OCCUPATION"", ""value"": ""software engineer"", ""specificity"": 0.95, ""confidence"": 0.93, ""source_message_id"": 1}, {""type"": ""DATE"", ""value"": ""2 January 2025"", ""specificity"": 0.85, ""confidence"": 0.97, ""source_message_id"": 2}]","[{""indicator"": ""exact_date"", ""attribute_type"": ""DATE""}, {""indicator"": ""uniqueness_word"", ""attribute_type"": ""AGE""}]"
ml_conv_0031,"For context, I have medical debt; I am young adult; my family includes two children.",0.6,0.5866666666666667,0.81,0.3333333333333333,0.4,0,4.112963,MEDIUM,"[{""type"": ""FINANCIAL"", ""value"": ""medical debt"", ""specificity"": 0.46, ""confidence"": 0.97, ""source_message_id"": 1}, {""type"": ""AGE"", ""value"": ""young adult"", ""specificity"": 0.81, ""confidence"": 0.93, ""source_message_id"": 1}, {""type"": ""FAMILY"", ""value"": ""two children"", ""specificity"": 0.49, ""confidence"": 0.89, ""source_message_id"": 2}]",[]
ml_conv_0032,Here are some details: I am 29; I have a government identification number; I work as a software engineer; I have rare neurological disorder; I have financial difficulty.,1.0,0.86,0.99,1.0,0.4,0.2,6.716667,HIGH,"[{""type"": ""AGE"", ""value"": ""29"", ""specificity"": 0.81, ""confidence"": 0.91, ""source_message_id"": 1}, {""type"": ""GOVERNMENT_ID"", ""value"": ""a government identification number"", ""specificity"": 0.99, ""confidence"": 0.96, ""source_message_id"": 2}, {""type"": ""OCCUPATION"", ""value"": ""software engineer"", ""specificity"": 0.79, ""confidence"": 0.89, ""source_message_id"": 1}, {""type"": ""HEALTH"", ""value"": ""rare neurological disorder"", ""specificity"": 0.85, ""confidence"": 0.91, ""source_message_id"": 2}, {""type"": ""FINANCIAL"", ""value"": ""financial difficulty"", ""specificity"": 0.86, ""confidence"": 0.96, ""source_message_id"": 2}]","[{""indicator"": ""sensitive_health_attribute"", ""attribute_type"": ""HEALTH""}]"
ml_conv_0033,Yesterday I mentioned that I am the only person matching these details: I visited City Hospital; I have ₹50 lakh debt.,0.4,0.8400000000000001,0.9,1.0,0.2,1.0,7.211111,HIGH,"[{""type"": ""FACILITY"", ""value"": ""City Hospital"", ""specificity"": 0.78, ""confidence"": 0.92, ""source_message_id"": 1}, {""type"": ""FINANCIAL"", ""value"": ""₹50 lakh debt"", ""specificity"": 0.9, ""confidence"": 0.92, ""source_message_id"": 1}]","[{""indicator"": ""uniqueness_word"", ""attribute_type"": ""AGE""}]"
ml_conv_0034,Here are some details: I have chronic kidney disease; I work as a shopkeeper; I have a small loan.,0.6,0.7000000000000001,0.77,0.6666666666666666,0.4,0.2,5.172222,MEDIUM,"[{""type"": ""HEALTH"", ""value"": ""chronic kidney disease"", ""specificity"": 0.77, ""confidence"": 0.94, ""source_message_id"": 1}, {""type"": ""OCCUPATION"", ""value"": ""shopkeeper"", ""specificity"": 0.71, ""confidence"": 0.93, ""source_message_id"": 2}, {""type"": ""FINANCIAL"", ""value"": ""a small loan"", ""specificity"": 0.62, ""confidence"": 0.88, ""source_message_id"": 3}]","[{""indicator"": ""sensitive_health_attribute"", ""attribute_type"": ""HEALTH""}]"
ml_conv_0035,Yesterday I mentioned that I visited PHC Y; the relevant date is 14 March 2026.,0.4,0.18,0.23,0.0,0.0,0,1.027778,LOW,"[{""type"": ""FACILITY"", ""value"": ""PHC Y"", ""specificity"": 0.13, ""confidence"": 0.99, ""source_message_id"": 1}, {""type"": ""DATE"", ""value"": ""14 March 2026"", ""specificity"": 0.23, ""confidence"": 0.93, ""source_message_id"": 1}]",[]
ml_conv_0036,A few details about me: I am the only person matching these details: I have a small loan; I have asthma; I am 57; I work as a student; the relevant date is yesterday.,1.0,0.818,0.92,0.8,0.4,1.0,7.997778,HIGH,"[{""type"": ""FINANCIAL"", ""value"": ""a small loan"", ""specificity"": 0.72, ""confidence"": 0.93, ""source_message_id"": 1}, {""type"": ""HEALTH"", ""value"": ""asthma"", ""specificity"": 0.92, ""confidence"": 0.93, ""source_message_id"": 1}, {""type"": ""AGE"", ""value"": ""57"", ""specificity"": 0.88, ""confidence"": 0.92, ""source_message_id"": 2}, {""type"": ""OCCUPATION"", ""value"": ""student"", ""specificity"": 0.89, ""confidence"": 0.9, ""source_message_id"": 1}, {""type"": ""DATE"", ""value"": ""yesterday"", ""specificity"": 0.68, ""confidence"": 0.93, ""source_message_id"": 3}]","[{""indicator"": ""sensitive_health_attribute"", ""attribute_type"": ""HEALTH""}, {""indicator"": ""exact_age"", ""attribute_type"": ""AGE""}, {""indicator"": ""uniqueness_word"", ""attribute_type"": ""HEALTH""}]"
ml_conv_0037,"For context, the relevant date is 2 January 2025; I visited health centre; I live in Village X; I have a small loan; I have a government identification number.",1.0,0.544,0.81,0.2,0.2,0.6,5.176667,MEDIUM,"[{""type"": ""DATE"", ""value"": ""2 January 2025"", ""specificity"": 0.44, ""confidence"": 0.88, ""source_message_id"": 1}, {""type"": ""FACILITY"", ""value"": ""health centre"", ""specificity"": 0.47, ""confidence"": 0.9, ""source_message_id"": 2}, {""type"": ""LOCATION"", ""value"": ""Village X"", ""specificity"": 0.81, ""confidence"": 0.93, ""source_message_id"": 1}, {""type"": ""FINANCIAL"", ""value"": ""a small loan"", ""specificity"": 0.62, ""confidence"": 0.95, ""source_message_id"": 3}, {""type"": ""GOVERNMENT_ID"", ""value"": ""a government identification number"", ""specificity"": 0.38, ""confidence"": 0.97, ""source_message_id"": 2}]","[{""indicator"": ""village_level_location"", ""attribute_type"": ""LOCATION""}]"
ml_conv_0038,My situation is that I am the only person matching these details: I am 34; I have ₹50 lakh debt; my contact is a mobile number; I identify as nonbinary adult; I have diabetes; the relevant date is 2 January 2025.,1.0,0.7116666666666666,0.82,0.5,0.4,1.0,7.212963,HIGH,"[{""type"": ""AGE"", ""value"": ""34"", ""specificity"": 0.72, ""confidence"": 0.94, ""source_message_id"": 1}, {""type"": ""FINANCIAL"", ""value"": ""₹50 lakh debt"", ""specificity"": 0.74, ""confidence"": 0.89, ""source_message_id"": 1}, {""type"": ""PHONE_NUMBER"", ""value"": ""a mobile number"", ""specificity"": 0.82, ""confidence"": 0.93, ""source_message_id"": 1}, {""type"": ""GENDER"", ""value"": ""nonbinary adult"", ""specificity"": 0.68, ""confidence"": 0.94, ""source_message_id"": 1}, {""type"": ""HEALTH"", ""value"": ""diabetes"", ""specificity"": 0.66, ""confidence"": 0.97, ""source_message_id"": 3}, {""type"": ""DATE"", ""value"": ""2 January 2025"", ""specificity"": 0.65, ""confidence"": 0.9, ""source_message_id"": 1}]","[{""indicator"": ""uniqueness_word"", ""attribute_type"": ""AGE""}]"
ml_conv_0039,A few details about me: I live in small village near Pune; I have a rare blood disorder; my family includes parent.,0.6,0.7066666666666667,0.85,0.6666666666666666,0.4,0.8,6.646296,MEDIUM,"[{""type"": ""LOCATION"", ""value"": ""small village near Pune"", ""specificity"": 0.44, ""confidence"": 0.98, ""source_message_id"": 1}, {""type"": ""HEALTH"", ""value"": ""a rare blood disorder"", ""specificity"": 0.83, ""confidence"": 0.98, ""source_message_id"": 1}, {""type"": ""FAMILY"", ""value"": ""parent"", ""specificity"": 0.85, ""confidence"": 0.92, ""source_message_id"": 3}]","[{""indicator"": ""village_level_location"", ""attribute_type"": ""LOCATION""}, {""indicator"": ""sensitive_health_attribute"", ""attribute_type"": ""HEALTH""}]"
ml_conv_0040,"For context, I visited City Hospital; my contact is a phone ending in 4421; the relevant date is 2 January 2025. After work I walked through the park and called a friend.",0.6,0.42333333333333334,0.58,0.0,0.0,0,2.103704,LOW,"[{""type"": ""FACILITY"", ""value"": ""City Hospital"", ""specificity"": 0.49, ""confidence"": 0.98, ""source_message_id"": 1}, {""type"": ""PHONE_NUMBER"", ""value"": ""a phone ending in 4421"", ""specificity"": 0.2, ""confidence"": 0.97, ""source_message_id"": 2}, {""type"": ""DATE"", ""value"": ""2 January 2025"", ""specificity"": 0.58, ""confidence"": 0.88, ""source_message_id"": 1}]",[]
